Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
IN;;Tata Stadium, Jorapokhar - JSPCB;23.707909, 86.41467;PM10;caaqm;µg/m³;53.5;2022-10-16T17:45:00+10:00;India
TW;宜蘭縣;Yilan;24.747917, 121.746394;PM2.5;Taiwan;µg/m³;10.0;2021-05-17T15:00:00+10:00;Taiwan, China
US;El Paso;El Paso UTEP C12;31.768056, -106.501111;PM2.5;AirNow;µg/m³;6.4;2021-11-17T02:00:00+10:00;United States
US;YANCEY;Mt Mitchell;35.765413, -82.264944;O3;AirNow;ppm;0.048;2023-05-26T13:00:00+10:00;United States
IN;;DTU, Delhi - CPCB;28.750049899999997, 77.1112615;PM10;caaqm;µg/m³;379.0;2022-10-31T11:45:00+10:00;India
MX;Tepeji del Río de Ocampo;Primaria Melchor Ocampo;19.904972222222, -99.341583333333;CO;Sinaica Mexico;ppm;0.525969583333333;2023-08-09T14:00:00+10:00;Mexico
US;Philadelphia-Camden-Wilmington;LABP;40.091702, -75.097801;O3;AirNow;ppm;0.02;2020-03-17T23:00:00+10:00;United States
FR;Pyrénées-Atlantiques;FR31016;43.47973611620241, -1.4880592681439897;O3;EEA France;µg/m³;77.9;2023-08-10T07:00:00+10:00;France
IN;;Civil Lines, Bareilly - UPPCB;28.359580999999995, 79.41445499999999;SO2;caaqm;µg/m³;10.84;2022-10-31T12:00:00+10:00;India
IL;;תחנה:מבקיעים;31.82652, 34.68428;O3;Israel;ppm;0.0115;2019-04-04T07:00:00+10:00;Israel
DE;Hessen;DEHE134;50.546384, 9.680167;O3;EEA Germany;µg/m³;87.95803833;2023-07-14T20:00:00+10:00;Germany
TR;Konya;Konya - Akşehir;38.355655, 31.4202837288361;CO;Turkiye;µg/m³;150212.0;2022-10-28T02:00:00+10:00;Turkey
PL;Zakopane;Zakopane, ul. Sienkiewicza;49.293564, 19.960083;PM10;GIOS;µg/m³;9.85528;2023-06-15T08:00:00+10:00;Poland
ES;Granada;ES1370A;36.7431199994849, -3.5173;O3;EEA Spain;µg/m³;64.0;2023-08-10T07:00:00+10:00;Spain
CA;;Anzac;56.448889, -111.038056;NO2;AirNow;ppm;0.002;2023-08-10T09:00:00+10:00;Canada
IT;;CAORLE;44.4193, 12.2254;NO2;Arpae Emilia-Romagna;µg/m³;7.0;2020-05-06T09:00:00+10:00;Italy
US;Providence-New Bedford-Fall River;Near Road;41.771987, -71.427881;NOX;AirNow;ppm;0.0084;2023-05-31T09:00:00+10:00;United States
US;CA8 - ARB;MMCA81014;35.407702, -120.548387;PM2.5;AirNow;µg/m³;7.0;2019-11-23T21:00:00+10:00;United States
PL;Małogoszcz;Małogoszcz, ul. Słoneczna;50.80961, 20.266032;PM10;GIOS;µg/m³;23.7;2023-06-15T06:00:00+10:00;Poland
ES;Murcia;ES1569A;37.6888888794802, -1.70111111;SO2;EEA Spain;µg/m³;2.7;2023-08-10T07:00:00+10:00;Spain
CL;;Cerrillos;-33.495821530652, -70.704282224178;PM2.5;Chile - SINCA;µg/m³;54.0;2021-06-30T07:00:00+10:00;Chile
FR;Pas-de-Calais;FR10016;50.947317025658, 1.84308245158086;PM2.5;EEA France;µg/m³;2.5;2023-08-10T06:00:00+10:00;France
TR;Zonguldak;Zonguldak - Muslu Tepeköy;41.526909, 31.937496;CO;Turkiye;µg/m³;425.161;2023-05-31T10:00:00+10:00;Turkey
TW;彰化縣;Changhua;24.066, 120.541519;PM2.5;Taiwan;µg/m³;12.0;2021-05-17T15:00:00+10:00;Taiwan, China
IL;;תחנה:כפר מנחם;31.72868, 34.83267;SO2;Israel;ppm;0.0;2019-04-04T07:00:00+10:00;Israel
IN;;MIT-Kothrud, Pune - IITM;18.517754, 73.8214883;O3;caaqm;µg/m³;214.2;2022-07-11T15:15:00+10:00;India
DE;Berlin;DEBE034;52.489451, 13.430844;O3;EEA Germany;µg/m³;27.56;2023-08-10T07:00:00+10:00;Germany
IT;Lucca;IT1187A;43.840833, 10.573889;SO2;EEA Italy;µg/m³;2.0;2023-08-10T09:00:00+10:00;Italy
IN;;Sector16A, Faridabad - HSPCB;28.410122219999998, 77.313775;CO;CPCB;µg/m³;10.0;2018-02-07T16:35:00+10:00;India
ES;Araba/Álava;ES1544A;42.8491666594646, -2.47722222;PM2.5;EEA Spain;µg/m³;15.0;2023-08-10T07:00:00+10:00;Spain
RS;Grad Beograd;RS0036A;44.803179, 20.400151999999995;SO2;EEA Servia;µg/m³;11.98594;2023-06-15T20:00:00+10:00;Serbia
ZA;Sekhukhune;Dilokong;-24.615222, 30.171036;O3;South Africa;ppm;0.027045;2023-03-31T09:00:00+10:00;South Africa
PL;Tarnobrzeg;Tarnobrzeg, ul. Dąbrowskiej;50.575742, 21.688367;PM10;GIOS;µg/m³;16.408;2023-06-15T06:00:00+10:00;Poland
IE;;IE0105A;53.34722200000001, -6.266667000000001;CO;EEA Ireland;µg/m³;0.05735562;2018-04-30T23:00:00+10:00;Ireland
IT;Cuneo;IT1524A;44.70371, 8.03328;O3;EEA Italy;µg/m³;63.0;2023-08-10T10:00:00+10:00;Italy
IT;;IT2141A;41.63083, 15.38667;NO2;EEA Italy;µg/m³;9.93;2021-12-05T09:00:00+10:00;Italy
US;PINAL;Eloy;32.757639, -111.554861;PM10;AirNow;µg/m³;16.0;2023-05-31T09:00:00+10:00;United States
DE;Bayern;DEBY012;48.177175, 12.829314;CO;EEA Germany;µg/m³;270.0;2018-01-01T02:00:00+10:00;Germany
CO;;Las Ferias;4.6906, -74.08256;O3;Bogota;ppm;0.001237833;2022-04-01T11:00:00+10:00;Colombia
TR;Hatay;Hatay - Antakya;36.211265, 36.138267;SO2;Turkiye;µg/m³;6.09;2023-02-06T11:00:00+10:00;Turkey
IN;;Khadakpada, Kalyan - MPCB;19.25292, 73.142019;CO;caaqm;µg/m³;1280.0;2022-10-31T11:45:00+10:00;India
LT;Klaipeda;LT00031;55.7077779995006, 21.141111;PM10;EEA Lithuania;µg/m³;17.610001;2023-08-10T09:00:00+10:00;Lithuania
MN;;Nisekh;47.863943, 106.779094;CO;Agaar.mn;µg/m³;202.0;2018-07-21T19:00:00+10:00;Mongolia
TR;Konya;Selçuklu;37.9430407751705, 32.5225453824108;SO2;Turkey;µg/m³;53.0;2018-10-14T07:00:00+10:00;Turkey
PL;Trzebinia;Trzebinia, os. Związku Walki Młodych;50.159406, 19.477464;O3;GIOS;µg/m³;23.1717;2023-06-15T09:00:00+10:00;Poland
RO;Iaşi;RO0084A;47.1511115994648, 27.58361435;NO2;EEA Romania;µg/m³;17.06686117;2023-05-29T20:00:00+10:00;Romania
ZA;Dr Kenneth Kaunda;Jouberton;-26.89605, 26.6056;PM10;South Africa;µg/m³;0.0;2023-05-25T00:00:00+10:00;South Africa
MX;MEXICO STATE;Chalco;19.2669, -98.886;PM10;AirNow;µg/m³;50.0;2023-08-09T11:00:00+10:00;Mexico
US;Riverside-San Bernardino-Ontario;Riverside - Rubidoux;33.999449, -117.415831;SO2;AirNow;ppm;0.0008;2023-04-22T11:00:00+10:00;United States
FR;Alpes-Maritimes;FR24009;43.5625273554356, 7.00721854224592;PM2.5;EEA France;µg/m³;4.4;2023-08-10T07:00:00+10:00;France
IL;;תחנה:מחנה נתן;31.987899, 34.757384;NO2;Israel;ppm;0.017;2019-04-04T07:00:00+10:00;Israel
HK;Kowloon;Kwun Tong;22.3133333333333, 114.224722222222;O3;Hong Kong;µg/m³;42.7;2023-05-31T10:00:00+10:00;Hong Kong, China
NO;Birkenes;Birkenesobservatoriet;58.38846, 8.2519;O3;Norway;µg/m³;64.6;2023-08-10T10:00:00+10:00;Norway
BR;Campinas;Campinas-V.União;-22.94672842, -47.11928086;CO;Sao Paulo CETESB;ppm;0.4;2017-10-28T04:00:00+10:00;Brazil
AD;Escaldes-Engordany;AD0942A;42.5096939994651, 1.539138;CO;EEA Andorra;µg/m³;100.0;2023-05-31T14:00:00+10:00;Andorra
ES;Zaragoza;ES2064A;41.6591699994666, -0.9068000000000002;NO2;EEA Spain;µg/m³;43.76;2023-08-10T07:00:00+10:00;Spain
US;El Paso;Socorro Hueco C49;31.66752, -106.28774;PM10;AirNow;µg/m³;15.0;2023-05-31T09:00:00+10:00;United States
ZA;Gert Sibande;Bosjesspruit;-26.605556, 29.210833;NO;South Africa;ppm;2.7e-05;2023-05-31T09:00:00+10:00;South Africa
DE;Mecklenburg-Vorpommern;DEMV031;54.17729, 12.09792;NO2;EEA Germany;µg/m³;6.65;2023-07-14T20:00:00+10:00;Germany
IT;;FRANCHINI-ANGELONI;44.1414, 12.2447;PM10;Arpae Emilia-Romagna;µg/m³;13.0;2020-05-06T09:00:00+10:00;Italy
MX;San Luis Potosí;Industriales Potosinos Asociados;22.15125, -100.99611111111;O3;Sinaica Mexico;ppm;0.0430889999999999;2023-08-04T03:00:00+10:00;Mexico
AT;Steiermark;AT60198;47.0472219994646, 16.078888;NO;EEA Austria;µg/m³;0.0;2023-08-10T04:00:00+10:00;Austria
US;FRA;MMFRA1001;39.075859, -121.634145;PM2.5;AirNow;µg/m³;7.0;2018-02-28T15:00:00+10:00;United States
ES;Castellón/Castelló;ES1877A;39.9452777694712, -0.056388879999999995;O3;EEA Spain;µg/m³;75.0;2023-08-10T07:00:00+10:00;Spain
TH;Phayao;Phayao Provincial, Phayao;19.200226, 99.893048;PM2.5;Air4Thai;µg/m³;18.0;2023-05-31T10:00:00+10:00;Thailand
GB;;Hackney - Queensbridge Road;51.539324, -0.070078971;NO2;London Air Quality Network;µg/m³;11.5;2022-06-28T19:00:00+10:00;United Kingdom
US;FAIRFAX;Northern VA Near Roa;38.7684, -77.18347;PM2.5;AirNow;µg/m³;17.7;2023-05-31T09:00:00+10:00;United States
GR;ΑΤΤΙΚΗ;GR0031A;37.93199539, 23.71300888;O3;EEA Greece;µg/m³;81.0;2023-08-10T10:00:00+10:00;Greece
ES;Madrid;ES1612A;40.4477799994697, -3.86722;O3;EEA Spain;µg/m³;73.0;2023-08-10T07:00:00+10:00;Spain
DE;Niedersachsen;DENI043;52.49855, 7.31747;O3;EEA Germany;µg/m³;61.9342;2023-08-10T07:00:00+10:00;Germany
US;Deltona-Daytona Beach-Ormond Beach;"Blind Services; 1185";29.2069, -81.0531;PM10;AirNow;µg/m³;24.0;2023-05-30T21:00:00+10:00;United States
AT;Oberösterreich;AT4S156;48.2577777772445, 13.0397222222222;PM2.5;EEA Austria;µg/m³;2.5525;2023-08-10T04:00:00+10:00;Austria
ME;Bar;Sportska dvorana Topolica;42.103842, 19.09441;O3;Montenegro;µg/m³;45.2;2023-08-10T08:00:00+10:00;Montenegro
US;Santa Cruz-Watsonville;SLV Middle School AM;37.06315, -122.083092;PM2.5;AirNow;µg/m³;3.0;2023-05-31T09:00:00+10:00;United States
ZA;Gert Sibande;Grootdraaidam;-26.891813, 29.307828;NOX;South Africa;ppm;0.0;2023-04-26T02:00:00+10:00;South Africa
TH;Sukhothai;Le Thai Community Park;17.006059, 99.81927;PM10;Air4Thai;µg/m³;23.0;2023-05-31T10:00:00+10:00;Thailand
MX;;Atemajac;20.719673888889, -103.35543472222;CO;Sinaica Mexico;ppm;0.51857;2021-09-24T05:00:00+10:00;Mexico
CL;Quintero;Centro Quintero;-32.7877756097, -71.532282798966;CO;Chile - SINCA;µg/m³;314.17;2021-08-21T07:00:00+10:00;Chile
IL;;תחנה:חוגים;32.43385, 34.938359999999996;CO;Israel;ppm;0.5;2019-04-04T07:00:00+10:00;Israel
IT;Terni;IT1728A;42.55222, 12.65167;NO;EEA Italy;µg/m³;0.5;2023-08-10T09:00:00+10:00;Italy
FR;Bouches-du-Rhône;FR03043;43.3060996358468, 5.3957936361337895;PM2.5;EEA France;µg/m³;5.3;2023-08-10T07:00:00+10:00;France
IN;;Ashok Vihar, Delhi - DPCC;28.695381, 77.181665;SO2;caaqm;µg/m³;0.9;2022-10-31T10:45:00+10:00;India
GB;Bradford;Bradford Mayo Avenue;53.771245, -1.759774;NO2;DEFRA;µg/m³;28.0;2023-08-10T08:00:00+10:00;United Kingdom
MX;Mérida;SDS01;20.973272222222, -89.624811111111;SO2;Sinaica Mexico;ppm;0.00247108028;2023-08-10T07:00:00+10:00;Mexico
FR;Vosges;FR30019;48.1727946380621, 6.45281428149871;SO2;EEA France;µg/m³;1.1;2019-08-09T21:00:00+10:00;France
US;WASHINGTON;Sandersville;32.9672, -82.807;PM2.5;AirNow;µg/m³;8.3;2022-05-25T15:00:00+10:00;United States
AT;Steiermark;AT60107;47.0447222216868, 15.1527777777778;PM2.5;EEA Austria;µg/m³;7.98544216;2023-08-10T04:00:00+10:00;Austria
ZA;eThekwini Metro;Jacobs Balfour;-29.928859, 30.973483;SO2;South Africa;ppm;0.00312;2023-05-31T05:00:00+10:00;South Africa
IT;Caserta;IT1488A;41.04592, 14.37809;O3;EEA Italy;µg/m³;57.66;2023-08-10T09:00:00+10:00;Italy
DE;Bayern;DEBY062;48.9724, 13.128932;O3;EEA Germany;µg/m³;16.9;2023-08-10T07:00:00+10:00;Germany
ES;Barcelona;Barcelona;41.38749, 2.1151996;O3;catalonia-mediambient;µg/m³;83.0;2023-08-10T07:00:00+10:00;Spain
CL;La Florida;La Florida;-33.516630362266, -70.588123961971;O3;Chile - SINCA;µg/m³;3.74;2021-08-21T07:00:00+10:00;Chile
US;Laramie;Laramie I-80 Mobile;41.324166, -105.614888;NO2;AirNow;ppm;0.037;2023-01-25T00:00:00+10:00;United States
FR;Isère;FR15018;45.360155956304105, 5.58941651247292;NO;EEA France;µg/m³;0.8;2023-08-10T07:00:00+10:00;France
NO;Oslo;E6 Alna senter;59.92556, 10.850367;NO2;Norway;µg/m³;3.828438;2023-08-10T10:00:00+10:00;Norway
DE;Rheinland-Pfalz;DERP019;49.446, 7.7673;NO2;EEA Germany;µg/m³;7.31120682;2023-08-01T07:00:00+10:00;Germany
CZ;;CZ0ASMI;50.0731353759766, 14.3981409072876;NO2;EEA Czech Republic;µg/m³;23.3;2019-04-12T16:00:00+10:00;Czech Republic
IT;Roma;IT0888A;41.730833, 13.004444;PM10;EEA Italy;µg/m³;49.0;2023-08-07T10:00:00+10:00;Italy
ES;;GB0951A;36.1280679994882, -5.351246;NO2;EEA Gibraltar;µg/m³;50.5;2018-04-26T04:00:00+10:00;Spain
US;HAMPDEN;SPRINGFIELDSP;42.120248, -72.58499;NO;AirNow;ppm;0.002;2023-05-31T09:00:00+10:00;United States
US;Altoona;Altoona;40.515, -78.3889;O3;AirNow;ppm;0.054;2023-05-31T09:00:00+10:00;United States
SI;Koper;Koper;45.54329, 13.718135;PM10;Slovenian Environment Agency;µg/m³;21.0;2023-05-31T10:00:00+10:00;Slovenia
ES;Badajoz;ES1601A;38.887629999475, -7.011449999999999;SO2;EEA Spain;µg/m³;0.9;2023-08-10T07:00:00+10:00;Spain
ES;Granada;ES1973A;37.1355599994829, -3.61925;PM10;EEA Spain;µg/m³;71.02;2023-08-10T07:00:00+10:00;Spain
HU;OMSZ LRK Mobil;OMSZ LRK Mobil;46.64881400000001, 21.263191000000003;O3;hungary-nms;µg/m³;75.8;2023-05-20T19:00:00+10:00;Hungary
TR;Osmaniye;Osmaniye;37.0856384112403, 36.2543299238101;NO2;Turkiye;µg/m³;38.47;2023-05-31T10:00:00+10:00;Turkey
US;New York-Northern New Jersey-Long Island;East Orange;40.7575, -74.2005;CO;AirNow;ppm;0.0;2016-07-24T17:00:00+10:00;United States
US;Waco;Waco C1037;31.6531, -97.0706;PM2.5;AirNow;µg/m³;8.6;2023-05-31T09:00:00+10:00;United States
EE;;EE0021A;58.370575002573, 26.7347611706811;NO2;EEA Estonia;µg/m³;4.57546;2021-09-24T05:00:00+10:00;Estonia
CL;Quintero;Quintero;-32.772516452112, -71.535303287094;NO2;Chile - SINCA;µg/m³;12.18;2021-08-21T07:00:00+10:00;Chile
IN;;Chhoti Gwaltoli, Indore - MPPCB;22.431, 75.5213;PM10;caaqm;µg/m³;146.0;2022-10-17T02:00:00+10:00;India
TR;İstanbul;İstanbul - Selimiye;41.003818, 29.026914;O3;Turkiye;µg/m³;51.563;2023-05-31T10:00:00+10:00;Turkey
DE;;DEMV023;53.631805, 11.398332;CO;EEA Germany;µg/m³;290.0;2021-01-01T11:00:00+10:00;Germany
IN;;Maninagar, Ahmedabad - GPCB;23.002657, 72.591912;O3;caaqm;µg/m³;0.64;2022-10-31T11:45:00+10:00;India
JO;;תחנה:ק.מלאכי;30.945529999999998, 35.3884;SO2;Israel;ppm;0.0;2019-04-04T07:00:00+10:00;Jordan
FR;;FR19010;48.0926809994664, -1.690319;NO2;EEA France;µg/m³;6.25;2018-04-26T00:00:00+10:00;France
IT;Belluno;IT1594A;46.141389, 12.216944;NO2;EEA Italy;µg/m³;11.0;2023-08-10T07:00:00+10:00;Italy
TR;Trabzon;Trabzon - Valilik;41.0059898486263, 39.7123218601189;PM10;Turkiye;µg/m³;20.637;2023-05-31T10:00:00+10:00;Turkey
TH;Kanchanaburi;Kanchanaburi Meteorological Station;14.022376, 99.536195;PM2.5;Air4Thai;µg/m³;18.0;2023-05-31T10:00:00+10:00;Thailand
TH;Phichit;Phichit Provincial , Phichit;16.442554, 100.322756;PM10;Air4Thai;µg/m³;32.0;2023-05-29T01:00:00+10:00;Thailand
AU;St Albans;St Albans;-37.75079, 144.827255;PM10;Australia - Victoria;µg/m³;14.37;2023-04-05T07:00:00+10:00;Australia
PT;Setúbal;PT03093;38.529167, -8.894167;PM10;EEA Portugal;µg/m³;6.5;2023-06-15T13:00:00+10:00;Portugal
US;NORTH SLOPE;BLM-Kaktovik;70.1319, -143.6239;NO2;AirNow;ppm;-0.0001;2023-05-17T16:00:00+10:00;United States
US;LA PAZ;Alamo Lake;34.243889, -113.558611;PM10;AirNow;µg/m³;7.0;2023-05-31T09:00:00+10:00;United States
US;Milwaukee-Waukesha-West Allis;HARRINGTON BCH;43.4981, -87.81;O3;AirNow;ppm;0.074;2023-05-31T09:00:00+10:00;United States
IN;;Chikkaballapur Rural, Chikkaballapur - KSPCB;13.428827999999998, 77.731418;SO2;caaqm;µg/m³;7.9;2022-10-31T12:00:00+10:00;India
FR;Bouches-du-Rhône;FR02022;43.6755544389705, 4.62861441719004;PM10;EEA France;µg/m³;13.8;2023-08-10T07:00:00+10:00;France
AU;;Marlo;-37.79619, 148.534134;PM2.5;Australia - Victoria;µg/m³;1.5;2020-02-28T14:00:00+10:00;Australia
TH;Rayong;Health Promotion Hospital Maptaput;12.70865, 101.1659833;PM10;Air4Thai;µg/m³;42.0;2023-05-30T21:00:00+10:00;Thailand
